horizon_min,n_sequences,positions_per_sequence,evaluated_cells,accuracy,macro_f1
1,2088,2601,5430888,0.9233674124747187,0.8445072281065358
5,2088,2601,5430888,0.9081461447925275,0.8134308917232158
10,2088,2601,5430888,0.8959096560267861,0.7925094872641015
15,2088,2601,5430888,0.8873666700546946,0.7768598164841496
